data,horario,tbs,umidade,globo metalico,globo plastico,itgu,itu,orvalho
2021-02-25,09:50:00,32.14,49.47,33.63,33.5,82.41514956491511,82.28514956491512,81.0,20.236526569208646
2021-02-25,10:00:00,31.85,48.46,33.88,33.5,82.44981278180697,82.06981278180696,80.45,19.63836883835267
2021-02-25,10:10:00,31.81,48.21,33.0,33.0,81.52668828038891,81.52668828038891,80.35,19.518578556635866
2021-02-25,10:20:00,33.08,44.99,34.0,33.5,82.54150430336614,82.04150430336614,81.4,19.559734176017045
2021-02-25,10:30:00,33.12,45.08,34.88,34.5,83.44611496643233,83.06611496643234,81.46,19.62809712897872
2021-02-25,10:40:00,33.08,44.93,35.13,34.5,83.66377084651995,83.03377084651996,81.39,19.538252351444328
2021-02-25,10:50:00,33.37,42.37,35.44,35.0,83.72878625333786,83.28878625333786,81.27,18.857739592605178
2021-02-25,11:00:00,32.59,44.47,34.38,34.5,82.6948432176664,82.8148432176664,80.69,18.93012004907331
2021-02-25,11:10:00,33.8,40.94,35.0,34.5,83.22966803714439,82.72966803714439,81.53,18.6935223254011
2021-02-25,11:20:00,33.51,43.03,34.56,34.5,82.98330291018233,82.92330291018233,81.57,19.2313969727287
2021-02-25,11:30:00,32.9,42.59,34.75,34.5,82.91664017832045,82.66664017832045,80.73,18.518444939779002
2021-02-25,11:40:00,34.32,39.7,34.94,35.0,83.1596107982256,83.2196107982256,81.91,18.665585550626687
2021-02-25,11:50:00,34.5,39.56,35.63,35.5,83.88694572081732,83.75694572081733,82.1,18.769293668937024
2021-02-25,12:00:00,33.58,41.73,34.69,35.0,82.95887219069385,83.26887219069386,81.4,18.802422751927356
2021-02-25,12:10:00,33.2,39.72,34.44,34.5,82.3034354487717,82.3634354487717,80.57,17.676209579921395
2021-02-25,12:20:00,34.55,37.95,34.75,34.5,82.78414206224633,82.53414206224633,81.84,18.150394617350937
2021-02-25,12:30:00,34.54,37.1,35.56,35.5,83.46126740706517,83.40126740706516,81.66,17.781298352958796
2021-02-25,12:40:00,35.03,37.62,35.69,35.5,83.82690232003523,83.63690232003523,82.34,18.435839777875664
2021-02-25,12:50:00,33.96,38.21,36.13,36.5,84.01507950192064,84.38507950192063,81.19,17.736331949779533
2021-02-25,13:00:00,35.15,36.56,35.75,36.0,83.76102794057778,84.01102794057778,82.27,18.08618872382718
2021-02-25,13:10:00,34.08,38.3,35.19,35.5,83.12682503509879,83.43682503509879,81.35,17.880069541941086
2021-02-25,13:20:00,34.37,37.5,35.44,35.5,83.34851240094423,83.40851240094423,81.54,17.801423335956212
2021-02-25,13:30:00,34.76,36.98,34.94,35.5,82.89264333195564,83.45264333195564,81.89,17.924009255432335
2021-02-25,13:40:00,33.94,38.87,34.56,35.0,82.53666267731619,82.97666267731618,81.3,17.99072965921162
2021-02-25,13:50:00,33.23,39.56,34.56,35.0,82.40999874586848,82.84999874586848,80.58,17.638885405190212
2021-02-25,14:00:00,34.25,37.17,34.06,34.5,81.87984425363126,82.31984425363126,81.34,17.555122926753516
2021-02-25,14:10:00,33.47,39.18,34.31,34.5,82.181737833129,82.371737833129,80.79,17.699271758691673
2021-02-25,14:20:00,33.45,38.97,34.0,34.5,81.83464344817311,82.33464344817311,80.73,17.596231800480854
